headline,short_description,authors,date
"Starbucks Leaving Russian Market, Shutting 130 Stores",Starbucks' move follows McDonald's exit from the Russian market last week.,"DEE-ANN DURBIN, AP",2022-05-23
"For The Starbucks Union Campaign, A Bruising Contract Fight Is Just Beginning",Recent statements by CEO Howard Schultz offer a glimpse of some of the hardball tactics that might lay ahead.,Dave Jamieson,2022-04-16
Starbucks Workers In Seattle Vote To Form Union,That makes seven Starbucks stores that have voted to unionize in a matter of months.,Dave Jamieson,2022-03-23
"U.S. Added 678,000 Jobs In February As Omicron Eases",Unemployment fell to 3.8% as the economy continues its pandemic recovery.,"Christopher Rugaber, AP",2022-03-04
"Stocks Climb Back After Steep Slide On Fed, Ukraine Jitters","Stocks notched modest gains after climbing back from a steep slide that had knocked more than 1,200 points off the Dow Jones Industrial Average.","DAMIAN J. TROISE and ALEX VEIGA, AP",2022-01-24
Stores Kick Off Black Friday But Pandemic Woes Linger,Retailers are expected to usher in the unofficial start to the holiday shopping season Friday with bigger crowds than last year in a closer step toward normalcy.,"ANNE D'INNOCENZIO, AP",2021-11-26
Watch Consumer Reports Trick A Tesla Into Driving Without A Driver,The problem was exposed after two men were killed in a Tesla that authorities said was driverless but CEO Elon Musk denied.,Mary Papenfuss,2021-04-24
Coal Company Officials Plead Guilty After Hiding Black Lung Dangers,So far three former officials with Armstrong Coal have acknowledged their part in a fraud made public by HuffPost.,Dave Jamieson,2021-01-13
Google's Alphabet Settles With Shareholders Over Payoffs To Execs Accused Of Harassment,"Android creator Andy Rubin, accused of sexual harassment, was given a severance package worth $240 million, according to the lawsuit.",Mary Papenfuss,2020-09-26
Coronavirus Tore Through This Meatpacking Plant With Incredible Speed,"About 67 Smithfield workers a day were contracting the virus at the peak of the outbreak, the CDC found.",Dave Jamieson,2020-08-07
Store Mask Requirements Aren't Really Requirements If They Aren't Enforced,"A recent memo at one grocery chain said to provide masks at the door, but if the customer refuses to wear it, ""let them shop.""",Dave Jamieson,2020-07-26
"How Weight Watchers Fired Workers Via Zoom, The New Cruel COVID-19 Layoff Tool",Many of them were devoted longtime members of the iconic weight-loss program. They’re heartbroken.,Emily Peck,2020-05-22
She’s A Furloughed Single Mom Of 3. The Utility Is Shutting Off Her Power Anyway.,"Despite extra federal funding, many of Tennessee’s power providers are still cutting off service to families who can’t pay during the coronavirus pandemic.",Alexander C. Kaufman,2020-04-11
Utilities Face Pressure To Stop Shutting Off Services Amid Coronavirus Pandemic,"Companies are voluntarily halting disconnects over unpaid bills, but advocates warn there’s no legal obligation to do so amid the COVID-19 outbreak.",Alexander C. Kaufman,2020-03-14
"Johnson & Johnson Subpoenaed By DOJ, SEC Over Baby Powder Safety Concerns",The subpoenas are related to litigation involving alleged asbestos contamination in Johnson & Johnson's Baby Powder product line.,"Chris Kirkham, Reuters",2019-02-21
"General Motors About To Begin Laying Off 4,200 Salaried Workers","When cuts were first announced last year President Trump called them ""disappointing.""",Mary Papenfuss,2019-02-03
"Florida Sues Walgreens, CVS, Alleging They Added To State's Opioid Crisis",The pharmacies are accused of failing to stop opioid orders that were suspicious or of an unreasonable amount.,"TERRY SPENCER, Associated Press",2018-11-18
Uber Driver Suspended After Secretly Livestreaming Passengers On Twitch,Jason Gargac reportedly filmed more than 700 rides for online audiences without his passengers' knowledge.,Nina Golgowski,2018-07-22
Starbucks Says Anyone Can Now Sit In Its Cafes -- Even Without Buying Anything,The new policy was unveiled weeks after the controversial arrest of two black men at a Philadelphia Starbucks.,Dominique Mosbergen,2018-05-20
"Chili's Hit By Data Breach, Credit And Debit Card Information Compromised",The breach is believed to have occurred between March and April.,Jenna Amatulli,2018-05-14
Bank Of America Appears To Flip On Firearm Promise With Loan To Remington,The bank pledged in April to stop financing companies that sell military-style firearms to civilians. Remington made the Bushmaster rifle used in the Sandy Hook school massacre.,Dominique Mosbergen,2018-05-08
T-Mobile Agrees To Acquire Sprint For $26 Billion,U.S. regulators are expected to grill the companies on how they will price their combined wireless offerings.,"Greg Roumeliotis, Reuters",2018-04-29
Facebook Didn’t Seem To Care I Was Being Sexually Harassed Until I Decided To Write About It,"Two months ago, a pro-Trump Facebook group posted my photo and asked its 72,000 members if they would ""smash or pass.""",Jesselyn Cook,2018-04-17
Apple Co-Founder Steve Wozniak Ditches Facebook After Data Scandal,"""It's brought me more negatives than positives.""",Ed Mazza,2018-04-09
The Facebook Apology Tour Continues,Mark Zuckerberg spoke with reporters on topics including trust in the site and trust in his own leadership.,Ryan Grenoble,2018-04-05
"MyFitnessPal Security Breach Affects 150 Million Users, Under Armour Reports",The company alerted its app users four days after learning of the hack.,Carla Herreria,2018-03-30
There Are Psychological Reasons Parents Are So Obsessed With Target,"Marketing experts, therapists and parents weigh in.",Caroline Bologna,2018-03-29
Remington Files For Chapter 11 Bankruptcy Amid Mounting Pressure For More Gun Control,The company listed assets in the range of $500 million to $1 billion and liabilities in the range of $500 million and $1 billion.,"Tom Hais, Reuters",2018-03-26
Dow Plunges Amid Wall Street Fears About Trade War,The drop comes on the heels of an action by President Donald Trump to impose tariffs on up to $60 billion of Chinese imports.,"Chuck Mikolajczak, Reuters",2018-03-22
