headline,short_description,authors,date
I'm Boycotting Macy's; And You Should Too,"And yet, Macy's continues to use Trump in advertisements and feature him at company events, despite a petition urging them","David Shuster, Contributor
Host and Managing Editor, 'Take Action News with David Shuster'",2012-11-22
Here Are 5 Things To Be Thankful For This Thanksgiving,There is a dirty little secret about economics writing. The thing that offers the surest path to glory — to front page play,,2012-11-22
The Fiscal Cliff Showdown Will Set Agenda for the Next Four Years,"December 31st is not a cliff; it's a slope. Actually, the better metaphor is a showdown between two different visions for the country -- a showdown that will not only take place over the next four months, but will dominate debate about the economy for the next four years.","Richard Kirsch, Contributor
Director of Our Story - The Hub for American Narratives and au...",2012-11-18
"Fiscal Cliff Doomsaysers Causing Unnecessary Panic, Experts Say","Stephen Fuller, an economist at George Mason University, said it could take until the end of March before spending cuts begin","Reuters, Reuters",2012-11-18
BP Plans $5.9 Billion Share Buy Back After Criminal Fine In Aim To Boost Lagging Stock: Report,* Oil firm settled criminal charges last week A BP spokesman declined to comment on the report. The settlement means BP will,"Reuters, Reuters",2012-11-18
Stand With Striking Walmart Workers on Black Friday (VIDEO),"The Walmart strike, which originated in Los Angeles, has spread to 12 cities and counting. A series of strikes will occur","Dennis Trainor Jr, Contributor
Writer, filmmaker, and multi-media storyteller",2012-11-17
Is The Twinkie Moving To Mexico,Who knew there were so many Twinkie diehards? The announcement that Hostess Brands would shutter and liquidate its 33 bakeries,,2012-11-17
10 Companies That Are Working To Hire Veterans,"Many companies nationwide, including General Electric and Wal-Mart, actively recruit military veterans to join their workforce",Alexis Kleinman,2012-11-11
Paul Krugman: Deficit Hawks 'Squirming' Over Fiscal Cliff,"But Krugman has also argued that the ""fiscal cliff"" presents an opportunity for President Barack Obama to stand his ground",Harry Bradford,2012-11-11
Paul Krugman: 'Modern GOP Is Deeply Anti-Intellectual',"Modern Republicans are devotees of faith-based analysis on every front. On economics, in particular, they are devoted to",,2012-11-10
Companies Everyone Wants To Work For: 24/7 Wall St.,One factor many of these companies have in common is the fact that they have been able to market themselves as very innovative,"24/7 Wall St., 24/7 Wall St.",2012-11-10
Presidential Election 2012: Let the Best Brand Win,Political leaders have known for centuries what commercial organizations have recently discovered: The most successful brands are rooted in universal human ideals.,"Mario Simon, Contributor
CEO, Millward Brown Vermeer",2012-11-04
Union Workers Help Hurricane Sandy-Ravaged Neighborhoods,"Many union workers are among the hardest-hit by the storm, but still worked long days. According to Jim Brown with the Long",Lila Shapiro,2012-11-03
"State Farm Flying Planes Towing Phone Number Over New York, New Jersey","The planes will fly from sunrise to sunset, with one covering the greater New York City area and the other the New Jersey","Reuters, Reuters",2012-11-03
The 10 Worst-Paying States For Women,"In 2011, men working full-time earned a median of $48,765. Women earned just $38,373. That difference of more than $10,000",,2012-11-03
15 Companies Helping Sandy Victims,"With all the talk of fake charities and scam artists trying to take advantage of hurricane victims, it's easy to overlook",Alexis Kleinman,2012-11-03
Wall Street Plans To Open Monday Despite Hurricane Sandy,"JPMorgan Chase & Co said its buildings were still open Monday and the bank was planning to be fully operational, using resources","Reuters, Reuters",2012-10-28
13 American Cities Going Broke: 24/7 Wall St.,Detroit’s 2011 general fund revenue was $1.23 billion while its outstanding debt was more than $2.5 billion. For some speculative,"24/7 Wall St., 24/7 Wall St.",2012-10-27
"Remy Martin's 2,500 Euro Louis XIII Cognac In Demand From Asia's Super-Rich","For China's up-and-coming millionaires, much of the appeal of a rare cognac like Louis XIII, first created in 1874, lies","Reuters, Reuters",2012-10-21
The Worst Business Decisions Of All Time: 24/7 Wall St.,"Kmart, meanwhile, showed a general lack of foresight. The retailer failed to create modern supply chain management that could","24/7 Wall St., 24/7 Wall St.",2012-10-21
3 Ways to Tell a Social Brand Story,"The medium in which this content is produced is also important, as it affects how fast it is shared, and how identical these","Christel Quek, Contributor
Co-Founder of BOLT (live TV & gaming), CMO of Zilliqa (next-ge...",2012-10-20
Do Good CEOs Make Good Presidents?,"With only a few weeks remaining until the election, it's still not clear how Mitt Romney would manage our jobs crisis. There",,2012-10-20
Tower of Basel,"With a simple albeit ambitious decision, Wall Street regulators have a way to all but guarantee that there will be no more financial sector bailouts: require genuine ""skin in the game"" from bank owners.","Bartlett Naylor, Contributor
Expert on corporate governance, financial markets and sharehol...",2012-10-20
Meet Romney's Go-To Economist,"""I HOPE you're sitting down for this,"" said Ali Velshi, the CNN anchor, staring into the camera, his voice booming with incredulity",,2012-10-14
"Ben Bernanke: Fed Policies Helping, Not Hurting, Emerging Economies","In response to the financial crisis and deep recession of 2007-2009, the Fed cut official interest rates to near zero and","Reuters, Reuters",2012-10-14
"NECC, Company At Center Of Meningitis Outbreak, Facing State Investigations, Prison Possibilities","Tennessee, the state where patients first reported being sickened after the injections, said its pharmacy board will consider","Reuters, Reuters",2012-10-13
Obama Defends Auto Bailout: 'We Bet On American Workers',"WASHINGTON, Oct 13 (Reuters) - President Barack Obama sought on Saturday to sustain momentum from Vice President Joe Biden's","Reuters, Reuters",2012-10-13
Jack Welch Denies Referencing White House In Jobs Report Conspiracy Theory Claim,Former General Electric CEO Jack Welch denied on Sunday that he had accused the White House of manipulating the September,Bonnie Kavoussi,2012-10-07
Ben Bernanke: Washington Should Look To Its Baseball Team For Tips On How To Lead,Bernanke can often be seen among the crowds at the Nationals' ballpark in sight of Capitol Hill and has rooted for the team,"Reuters, Reuters",2012-10-07
America's Richest Cities: 24/7 Wall St.,"In the poorest economies, there is a much higher proportion of low-end manufacturing and retail jobs. In the U.S. as a whole","24/7 Wall St., 24/7 Wall St.",2012-10-07
Joseph Stiglitz: Jobs Numbers Conspiracy 'Literally Absurd',"""No president, maybe except Nixon, would actually try to change what the Bureau Labor Statistics does or what the DEA does",Alana Horowitz Satlin,2012-10-06
Faces Of The Great Depression (PHOTOS),"The unemployment rate fell below 8 percent for the first time in nearly 4 years, according to the jobs report released Friday",,2012-10-06
U.S. Answers Florida Cry To End Tomato Pact With Mexico,"Mexico's Economy Minister Bruno Ferrari told Reuters earlier this week it was ""obvious"" the Florida Tomato Exchange had timed","Reuters, Reuters",2012-09-30
"Confessions, Chaos, How the F#$% and Influence","For the next five days, I will clear my calendar with the intent to raise myself out of the muck by gaining some fresh perspective and ideas at Advertising Week. In no particular order, here is a sampling of sessions I will be attending and why.","Amie Deutch, Contributor
Associate Publisher, Fast Company",2012-09-30
Pregnancy Discrimination In The Workplace Target Of New EEOC Crackdown,"""Losing my job and facing a brand-new job search right after giving birth was incredibly stressful,"" Feeney said in a statement",Christina Wilkie,2012-09-29
The 12 Most Overrated Jobs In America: CNBC,It may seem glamorous to be a slick advertising executive like Jon Hamm on the TV show “Mad Men” or like Michael Douglas’s,,2012-09-29
"Drought Causing Farmers To Add Gummy Worms, Ice Cream Sprinkles To Corn Feed",Feed is generally the largest single production expense for cattle operators. Whatever is fed needs to supply energy and,"Reuters, Reuters",2012-09-23
"A Year After Debit Reform, Consumers Benefit Even as Banks Cast False Blame","While the average American is making less and the income gap widens, profits in the banking industry are higher than they were pre-recession.","Douglas Kantor, Contributor
Partner, Steptoe & Johnson LLP",2012-09-23
Occupy Wall Street Ideas May Live On As Movement Fades,To contact the editor responsible for this post: Timothy Lavin at tlavin1@bloomberg.net. Lessons of Paris Even as they were,"Bloomberg View, Bloomberg View",2012-09-22
"Walmart Gender Discrimination Lawsuit Allowed To Proceed, Judge Says","The case in U.S. District Court, Northern District of California is Betty Dukes, Patricia Surgeson, Edith Arana, Deborah","Reuters, Reuters",2012-09-22
The Fed Decision's Winners And Losers,The Federal Reserve’s announcement – as widely anticipated as yesterday’s unveiling of Apple’s new iPhone – that it would,,2012-09-16
The 10 Poorest Countries In The World: 24/7 Wall St.,"According to 2011 data released on Wednesday by the U.S. Census Bureau, 15% of individuals in the United States live below",,2012-09-16
The Best States To Sue A Company: 24/7 Wall St.,"Read: The Best States to Sue a Company Here are the best states to sue a company, according to 24/7 Wall St.: Michael Lepage","24/7 Wall St., 24/7 Wall St.",2012-09-16
"Daddy, Where Do Jobs Come From?","The most direct way to create jobs, the only surefire way to be sure stimulus will work, is direct job creation. But we live in a dark age where any fiscal policy to create jobs is viewed as European socialism, despite the fact that Europe's even more austere than we are.","Jared Bernstein, Contributor
Fmr. Obama administration economist; CNBC and MSNBC contributor",2012-09-15
