headline,short_description,authors,date
Most Americans Can't Afford A Minor Emergency,"Just 39 percent of Americans have enough money in savings to cover an unexpected $1,000 bill, according to a new report.",Eleanor Goldberg,2018-01-29
RNC Finance Chair Steve Wynn Accused Of Decades Of Sexual Misconduct: Report,The Las Vegas mogul has been accused of sexually harassing and abusing female employees.,Antonia Blumberg,2018-01-26
"Squirming On The Floor And A $200,000 Payout: Travis Kalanick's Last Months At Uber","""I'm terrible,"" he muttered, according to a devastating report from Bloomberg.",Ryan Grenoble,2018-01-18
Native Americans Who Can't Afford Heat Take Desperate Measures To Stay Warm,"“Out here, it feels like we’re in our own world. It doesn’t feel like the U.S. It feels like a third-world country.”",Eleanor Goldberg,2018-01-13
Ford Urges Thousands Of Pickup Owners To Stop Driving After New Airbag Death,At least 21 deaths worldwide are linked to the Takata inflators that can rupture and send deadly metal fragments inside vehicles.,"By David Shepardson, Reuters",2018-01-12
Minimum Wage Raises Coming To 18 States On New Year’s Day,"Some hikes are less than a quarter an hour. But when you're making minimum wage, every penny counts.",Dave Jamieson,2017-12-31
Dollar General To Create 400 New Jobs In Texas As It Expands In Rural America,The discount chain is building a new distribution center in the Lone Star State to support its growing store count.,Sara Boboltz,2017-12-27
Corporations Are Trying To Sell The GOP's Narrative On Tax Cuts,"Bonuses for workers are smart PR, but they don't mean Republicans' trickle-down fantasies are coming true.","Dean Baker, Guest WriterGuest Writer",2017-12-22
Alphabet's Eric Schmidt Stepping Down As Executive Chairman,Schmidt will continue to serve Alphabet as an adviser focused on technical and science issues.,"Salvador Rodriguez and Sonam Rai, Reuters",2017-12-21
Bubbles: Are They Back?,There has been much greater concern about the danger of asset bubbles ever since the collapse of the housing bubble sank,"Dean Baker, Guest WriterGuest Writer",2017-12-19
ESPN President John Skipper Resigns Unexpectedly,Skipper cited substance addiction in a statement.,Ryan Grenoble,2017-12-18
Jim Spencer Died In A Pile Of Dirt. The Law Was Too Weak To Help.,"$41,600 in fines, no criminal charges. A plumber’s death in a trench cave-in shows how the country values the lives of workers.","Jim Morris, Center for Public Integrity",2017-12-14
New York City Just Recognized That It's Not Only Women Who Have To Change Diapers,A new bill will require all public restrooms in New York City to have diaper changing tables.,Eleanor Goldberg,2017-12-11
Sexual Harassment Comes At A Cost. So Does Speaking Up About It.,And the price is often steepest for the women who can least afford it.,"Yassmin Abdel-Magied, Guest WriterGuest Writer",2017-12-11
"Uber Paid 20-Year-Old Florida Man $100,000 To Keep Quiet About Data Breach",The breach exposed the personal data of 57 million Uber users.,"Joseph Menn, Dustin Volz, Reuters",2017-12-07
You Do Not Need To Buy This,"Social science points to a few ways that people find lasting, deep satisfaction. None of them require a trip to the mall.","Amitai Etzioni, ContributorUniversity Professor and Professor of International Relations,...",2017-12-04
Hawaii Developer Under Fire For Segregated 'Poor Door' For Renters,The controversial entrance has been proposed across the country.,Carla Herreria,2017-12-03
Sheryl Sandberg Warns Of #MeToo Backlash Against Women,The Facebook executive is hearing people say this is why you shouldn't hire women. Actually this is why you should.,Emily Peck,2017-12-03
Why I Reached Out To Russell Simmons,One week before screenwriter Jenny Lumet gave her very graphic account in the Hollywood Reporter of her allegation that music,"Earl Ofari Hutchinson, ContributorEarl Ofari Hutchinson is an author and political analyst",2017-11-30
Hundreds Of Europe's Amazon Workers Plan Black Friday Strike,The walkout threatens profits on one of the biggest shopping days of the year.,"Reuters Staff, Reuters",2017-11-23
Surprise Bidder For Weinstein Company Wants Embattled Studio To Be Led By Women,Former Obama official and businesswoman Maria Contreras-Sweet has reportedly submitted an offer to acquire TWC for $275 million.,Dominique Mosbergen,2017-11-21
Did You Know Trump Made It Easier For Banks To Get Away With Screwing The Poor And Minorities?,"Let’s start by talking about Republican economic philosophy. To be sure, popular vote loser Donald Trump has not played a","Ian Reifowitz, ContributorProfessor of History at SUNY-Empire State College",2017-11-20
"All Of The Best Black Friday Deals, In One Exhaustive List","Check back, because we'll keep updating this list as the deals roll in 💸",Amanda Pena,2017-11-16
Millennials Can Afford To Buy A Home In These States,There have been a handful of reports over the past year detailing why millennials are no longer buying homes. In addition,"Brittany Jones-Cooper, Yahoo Finance",2017-11-14
Ocwen Financial: A Servicing Odyssey,Remember that obstinate computer from Stanley Kubrick’s 2001: A Space Odyssey — HAL 9000 — a machine with a will of its own,"Joel Sucher, ContributorNew York filmmaker/author/blogger",2017-11-07
"Uber, Lyft Ban Far-Right Journalist Following Islamophobic Tweets",Commentator Laura Loomer promised legal action against the ride-sharing companies.,Antonia Blumberg,2017-11-02
Because Sexual Abuse Is The Old Normal,Don’t let Bill O’Reilly dominate any part of our culture again.,"Madeleine Burnside, ContributorEditor, The Sanity Papers",2017-10-28
CVS Is Reportedly In Talks To Acquire Aetna,The pharmacy chain's move is likely motivated by concerns Amazon could enter the health care sector.,Doha Madani,2017-10-27
Get Ahead Of The Problem: 5 Actionable Steps To Address Sexual Harassment At Your Company,Hold a team meeting to let your employees know you have their back.,"Samier Mansur and Meera Seshadri, Contributors",2017-10-25
Move The Starting Line: COO Knows Diverse Teams Yield Creativity,"Yes, she knows it sounds odd coming from someone with an undergraduate degree from Northwestern University and a masters","Michele Weldon, ContributorAuthor, Journalist, Emerita Faculty at Northwestern University",2017-10-20
Should These Anti-Consumer Laws Be Repealed Now?,"Some rules and regulations work as intended. Some don't. Last week, I took a hard look at new laws that needed to be passed","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-10-16
The Jobs From The North Dakota “Oil Miracle” Have Disappeared,"The idea that we shouldn’t help workers through non-permanent bouts of joblessness is somewhat callous. (Hey, what’s 40 weeks","Nick Buffie, ContributorEconomic Policy Analyst",2017-10-10
Employment Falls In September After Hurricanes Harvey And Irma Undercut Economic Activity,It's the first time employment has fallen in seven years.,"Lucia Mutikani, Reuters",2017-10-06
"Scam Alert! In A Hyperactive Hurricane Season, The Worst May Not Be Over","Harvey. Irma. Maria. In a hyperactive hurricane season, the mere mention of these storms evokes fear, dread -- and regret","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-10-03
Starbucks Under Fire For Giving Less Parental Leave To Hourly Workers,"""This is a moral issue.""",Emily Peck,2017-10-02
Whole Foods' Yom Kippur Cake Doesn't Seem To Get The Holiday,Yom Kippur is typically observed by fasting.,Jenna Amatulli,2017-09-29
You’re Hired! Change The Process To Fill The Gender Gap So Women In Tech Win,"The women in tech pipeline problem starts not with whether or not a male or female candidate is hired, but how a candidate","Michele Weldon, ContributorAuthor, Journalist, Emerita Faculty at Northwestern University",2017-09-25
KB Home Cuts CEO's Annual Incentive Payment In Response To Vulgar Rant (UPDATE),CEO Jeffrey Mezger's mouth is going to cost him money.,Ryan Grenoble,2017-09-21
Facebook Enabled Advertisers to Reach ‘Jew Haters’,"After being contacted by ProPublica, Facebook removed several anti-Semitic ad categories and promised to improve monitoring.","Julia Angwin, Madeleine Varner and Ariana Tobin, ProPublica",2017-09-14
Betcha Didn't Know Travel Insurance Covered That,Betsy Donley recommends travel insurance for all the reasons you'd imagine -- and a few you might not. It's commonly known,"Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-09-12
"3 Reasons To Be Angry About Equifax’s Data Breach, And How You Can Protect Yourself","Look’s like the Attorney General is on it: For those who did take them up on their offer, it only seems to imply whether","Shindy Chen, ContributorLeft-Brain, Right-Brain",2017-09-08
DACA: 5 Ways Corporate Leaders Can Step Up To Make An Impact,"DACA has ceased to exist as we have known it, leaving many disheartened wondering what the future holds for the lives and","Lili Gil Valletta, ContributorEntrepreneur, Cultural Innovator, CEO CIEN+ CulturIntel, mom.",2017-09-06
Does Your Credit Card Offer Enough Travel Insurance?,Read your card coverage carefully when you make your travel plans.,"Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-09-04
Hurricane Harvey And The Failure Of The Free Market,This is a life-or-death situation.,"Paul Constant, ContributorFellow at Civic Ventures and co-founder of the Seattle Review ...",2017-08-30
"So, Eclipse Boomtowns, How’d It Go?","It matters a good deal to smaller towns with less vibrant economies, both as a one-time revenue boost as well as an aid to longer-term marketing efforts.","The Atlantic, ContributorExploring the American idea since 1857",2017-08-29
Waterproof Advice For Making Your Home Vacation-Ready,If you’ve ever left for your summer vacation silently hoping your house would still be there ― and in good working order,"Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-08-28
"Freelancing Is Not Easier Than ""Regular"" Work","Freelancing, or at least moving to a freelance economy has provided us not with answers for the work-force that has bound","Shaylynn Hayes, ContributorFounder of Love Not Stigma, Writer, Student, and Advocate For ...",2017-08-27
"Exxon Mobil 'Misled' Public On Climate Change For 40 Years, Harvard Study Finds","Researchers found a ""systematic, quantifiable discrepancy"" between what the oil giant said about climate change in private versus what it told the public.",Dominique Mosbergen,2017-08-24
6 Habits Of People Who Make Things Happen,People who get things done are willing to embrace the suck and keep coming back for more.,"Jeff Boss, ContributorLeadership and Team Coach",2017-08-22
Powerball Jackpot Balloons To $650 Million After No Winner Found,The next drawing for what is now the second-largest jackpot in the game's history is on Wednesday.,"Peter Szekely, Reuters",2017-08-20
"Overcoming Fear, Managing Failure And Developing A Success Mindset","Fear is one of those things we’ve all experienced at some point. In times of physical danger, fear can literally save our","Nancy A. Ruffin, ContributorMother, Wife, Writer, and Life Strategist",2017-08-17
Google This: Best Way To Handle A Hostile Co-Worker Who Shows Gender Bias,Answer with facts and evidence.,"Michele Weldon, ContributorAuthor, Journalist, Emerita Faculty at Northwestern University",2017-08-13
Early Uber Investor Suing Former CEO Travis Kalanick For Fraud,"""Kalanick intentionally concealed and failed to disclose his gross mismanagement and other misconduct at Uber,"" the suit claims.",Ryan Grenoble,2017-08-10
The Anti-Diversity Memo Leaked Out Of Google Is Typical Tech Industry Discrimination,A Google engineer's manifesto reveals the tech industry is not against declining profit to protect its exclusive pool of employees.,"Bärí A. Williams, Guest WriterGuest Writer",2017-08-07
12 Essential Habits of Exceptional Leaders,One of the most popular Dilbert comic strips in the cartoon’s history begins with Dilbert’s boss relaying senior leadership’s,"Dr. Travis Bradberry, ContributorTalentSmart, President and 'Emotional Intelligence 2.0,' Coauthor",2017-08-05
Billionaire’s Plan To Sell A Publicly-Owned Airport Is A Lesson In Trumponomics,"Billionaire Rex Sinquefield usually gets what he wants by spending big. An avid chess player, he poured tens of millions","Donald Cohen, ContributorExecutive Director, In the Public Interest",2017-08-03
New Export Opportunities And Investment Strengthen Louisiana-China Ties,"By Sarah Wang, Project Assistant, East-West Center in Washington.  Note: this article originally appeared in the East-West","East-West Center, ContributorPromoting better understanding and relations between the natio...",2017-08-02
The 6 Biggest Lies Consumers Tell A Business,"Buyers are liars. That’s not an accusation, just a fact. Remember that University of Massachusetts study that found 60 percent","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-07-31
What Firing An Employee Teaches You About Your Company's Culture,"By Adam Mendler I often tell people that despite going to business school for six years, the best learning experiences have","Young Entrepreneur Council, ContributorInvite-only organization",2017-07-25
The 9 Worst Mistakes You Can Ever Make At Work,"We’ve all heard of (or seen firsthand) people doing some pretty crazy things at work. Truth is, you don’t have to throw a","Dr. Travis Bradberry, ContributorTalentSmart, President and 'Emotional Intelligence 2.0,' Coauthor",2017-07-23
Paid Family Leave Is Not Just A Women's Issue,It is a business issue and an economic imperative.,"Mark Weinberger, ContributorGlobal Chairman and CEO, EY",2017-07-18
How Much Is A Boss Worth?,An awful lot of Americans are skeptical about the value of their nation’s corporate executives. As a 2016 nationwide survey,"Lawrence Wittner, ContributorProfessor of History emeritus, SUNY/Albany",2017-07-16
Building A Team That Scales With Your Startup,"By Ashwini Asokan In the startup deadline world, to think consistently about the nuances of a growing and hardworking team","Young Entrepreneur Council, ContributorInvite-only organization",2017-07-13
Credit Card Fraud: What You Need To Know,"Bruno Buonaguidi, Università della Svizzera italiana If you are the owner of a credit or a debit card, there is a non-negligible","The Conversation Global, ContributorThe Conversation is a collaboration between editors and academ...",2017-07-10
The 10 Best U.S. Cities For Retirement,Next question: When is too early to start counting down the days until retirement?,"PureWow, ContributorWhat your girl crush reads online",2017-07-10
The Destructive Power Trips Of Amazon’s Boss,"For his smallish stature, Amazon Boss Jeff Bezos has a booming, uproarious laugh. Unleashed during workdays, its sonic burst","Ralph Nader, ContributorConsumer advocate, lawyer and author",2017-07-06
How To Find A Company That Exceeds Your Wildest Expectations,"I know you’re silently laughing at that headline. Stop it, already. There are still a few good companies left that care more","Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-07-03
This $130 Million Hyperloop Hotel Lets You Zip Between Cities Without Leaving Your Hotel Room,The actual technology to build a Hyperloop Hotel does not currently exist. But that's not to say it couldn't happen sometime,"Architectural Digest, ContributorArchitectural Digest Magazine",2017-06-29
Takata Corp. Files For Bankruptcy Following Massive Airbag Recall,It is the biggest bankruptcy of a Japanese manufacturer.,"By Naomi Tajitsu, Reuters",2017-06-26
Why Successful People Never Bring Smartphones Into Meetings,Why do so many people find smartphone use during meetings inappropriate?,"Dr. Travis Bradberry, ContributorTalentSmart, President and 'Emotional Intelligence 2.0,' Coauthor",2017-06-25
Layoffs Near At Carrier Factory 'Saved' By Trump,More than 600 workers will lose their jobs in the coming months.,Ed Mazza,2017-06-23
Why Everyone Should Just Stop Yelping,"After reaching Elite status, I ceased Yelping and later deleted my account.","Ilona Fried, ContributorWriter, blogger and champion of the Feldenkrais Method",2017-06-22
Uber Founder Travis Kalanick Resigns As CEO,Kalanick’s exit came after a shareholder revolt reportedly made it untenable for him to stay.,Ryan Grenoble,2017-06-21
How The 2020 Olympics Will Reshape Tokyo's Skyline,Toyko will be left with a skyline full of innovative new buildings.,"Architectural Digest, ContributorArchitectural Digest Magazine",2017-06-20
"Whole Foods vs. Trader Joe's, And Now Amazon Steps In","We had been trying to get Whole Foods to open a store in Nashville for about 15 years, so imagine our joy when they finally","Janis Ian, ContributorSongwriter, author, performer",2017-06-16
The Trump Administration’s Underrated Threat To The IRS,"If further weakening of IRS funding doesn’t do enough damage to the federal government’s ability to collect revenue, an even more worrisome possibility looms.","Jeff Hauser and Brian Dew, Contributors",2017-06-15
A Father's Day Gift To Our Daughters -- Making The Connection,"Dads, is the workplace ready for your daughter? Most men today never make the connection that if we as men, as fathers of","Jeffery Tobias Halter, ContributorPresident, YWomen",2017-06-13
Selling Back To The Public What It Already Owned: 'Public-Private Partnership' Shark Bait,"In the public-private partnership, the private entity rakes it in – and the public is thrown into crisis.","Mercedes Schneider, ContributorPublic school teacher, education activist, PhD",2017-06-12
What's Diversity Got To Do With It?,"By Ruben Cantu Over the past five years, the landscape of the Austin tech startup scene has changed. Some would argue the","The Love Summit, Contributor#BottomLineLove",2017-06-09
Uber Refunds Fares After Uproar Over London Terror Price Surge,Prices soared as people scrambled to flee the London Bridge attack.,Mary Papenfuss,2017-06-06
We Need Innovation On How To Innovate,Let’s go to Denmark. The tiny little fairytale country in calm and quite Scandinavia. When a small country like that suddenly,"Anders Emil Møller, ContributorI'm the managing director of the creative laboratory Trouble",2017-06-04
Mylan May Have Overcharged U.S. For EpiPen By $1.27 Billion,The amount is nearly three times a proposed settlement that the company announced in October.,"Michael Erman, Reuters",2017-06-01
6 Ways To Score Shopping Deals When You Left All Your Coupons At Home,There’s a reason you have a smartphone.,"PureWow, ContributorWhat your girl crush reads online",2017-06-01
An Open Letter To Brokers,"I come in peace. I have been hard on you in the past. At times, I was insensitive to the fact that you are husbands, wives","Dan Solin, ContributorAuthor of the Smartest series of books",2017-05-30
"Whether You're A Business Or Building A Personal Brand, 3 Reasons Why You Absolutely Need A Mission Statement","A large percentage of companies, including most of the Fortune 500, have corporate mission statements. According to Randell","Nancy A. Ruffin, ContributorMother, Wife, Writer, and Life Strategist",2017-05-28
5 Lessons From Big Business That I’ve Gladly Taken Home,"Major corporations get a bad rap, in the media and online. It's not hard to understand why - as in so many other things, the","Edward Muzio, ContributorEd Muzio is the CEO of Group Harmonics and author of Make Work...",2017-05-26
Uber Vows To Repay NYC Drivers 'Tens Of Millions' After Tax Snafu,The company says it miscalculated its commission for several years.,Ryan Grenoble,2017-05-24
Leave This At Home When You Go Shopping (Or You'll Regret It),What should you leave at home when you go shopping this summer? Jennifer Boaro prefers this strategy: Put your credit cards,"Christopher Elliott, ContributorAuthor, How to Be the World's Smartest Traveler (and Save Time...",2017-05-22
"Woman Awarded $100,000 For Starbucks Coffee Burns","Joanne Mogavero suffered first- and second-degree burns after coffee spilled on her lap, her lawyers say.",Nina Golgowski,2017-05-20
"Why Janitors Get Noncompete Agreements, Too","States are considering banning noncompete agreements for certain groups of workers, such as low-wage workers, teenagers and","Stateline, ContributorStateline provides daily reporting and analysis on trends in s...",2017-05-17
5 Points To Consider When Negotiating Your Salary,Rarely will an employer rescind an offer due to you negotiating.,"Ashley Stahl, ContributorI'm a career coach who helps job seekers find their purpose an...",2017-05-15
8 Powerful Habits Of Profoundly Influential People,"Influential people have a profound impact on everyone they encounter. Yet, they achieve this only because they exert so much","Dr. Travis Bradberry, ContributorTalentSmart, President and 'Emotional Intelligence 2.0,' Coauthor",2017-05-13
Navigating Emotional Labor At Work,"There is a generally-unspoken, but well-understood rule of the workplace: keep your emotions, unless they are positive, tightly","Allison McWilliams, Ph.D., ContributorAssistant Vice President, Mentoring and Alumni Personal & Care...",2017-05-09
Uber's Self-Driving Program At Risk As Judge Considers Heated Case Brought By Rival,"Despite ample evidence, Waymo so far lacks a ""smoking gun,"" the judge said.",Ryan Grenoble,2017-05-04
"Uber Is In Court Today, Fighting For Its Very Existence",The future of the company's self-driving unit hangs on the judge's decision.,"Heather Somerville and Dan Levine, Reuters",2017-05-03
Delta Under Fire After Pilot Appears To Hit Passenger,"The company has defended the employee, who it said was breaking up a fight.",Alana Horowitz Satlin,2017-04-30
How To Find Your Voice As A Leader And Speak Your Mind,"Chances are that as children, Donald Trump, Hillary Clinton, and Barack Obama watched and admired a parent or another close","Dianna Booher, MA, Speaker Hall of Fame, ContributorCEO, BooherResearch.com Author of Communicate Like A Leader, C...",2017-04-28
Read This Before Calling Your Boss A 'Nasty Motherf**ker',"It's protected, but only in certain cases.",Ed Mazza,2017-04-25
Chobani Sues Alex Jones For Posting Vicious Fake News Stories,The yogurt company says the falsified reports led to customers' calls to boycott their products.,Rebecca Shapiro,2017-04-25
How 'Cool Syndrome' Is Killing Our Careers,A version of this post was originally posted on Forbes. Sign up for Caroline’s newsletter to get her articles sent straight,"Caroline Beaton, ContributorI cover the psychology of millennials at work",2017-04-23
"San Francisco Power Outage Hits 90,000, Business District Affected",Officials said an incident at a San Francisco substation caused the outage.,,2017-04-21
New York City Might Force Uber To Allow In-App Tipping For Drivers,"""It’s just not possible to make it on straight UberX rates.""",Dave Jamieson,2017-04-17
United Airlines: Protecting The Company Instead Of Its Customers,"At this point, it would be hard to find someone who has not seen the horrifying video footage of police officers forcibly","Benedict Morelli, ContributorFounding Partner, Morelli Law Firm",2017-04-14
Trump’s Tax Giveaway To Wall Street Is Shameful,"Under Trump’s plan, tax-dodging banks would pay even less.","Sarah Anderson, ContributorSarah Anderson directs the Global Economy Project and co-edits...",2017-04-13
Civic-Minded Construction: Paying It Forward,"The U.S. Construction industry is a $1.73 trillion industry. Its more than 700,000 companies account for over 7 million American","Terry Graber and Greg Werner, ContributorPresident & CEO, Power Construction and SVP & General Manager,...",2017-04-12
Read The Full Text Of United CEO's Controversial Letter To Employees,"""Our agents were left with no choice.""",Alana Horowitz Satlin,2017-04-11
The Best Ways For Freelancers To Communicate With Clients,"As a freelancer, you must have a solid system in place for communicating with clients. Without this, you’ll find it difficult","Richard Lorenzen, ContributorEntrepreneur, Investor, Speaker",2017-04-11
"“I’m Sorry""--The Two Tragically Forgotten Words In Customer Service","Unfortunately, I was one of those frustrated passengers caught in the midst of the recent spring break travel nightmare that","Dana Brownlee, ContributorPresident of Professionalism Matters, a corporate training/key...",2017-04-10
9 Telltale Signs That It's Time To Quit Your Job,Choosing to leave a job can be a gut-wrenching decision. You need to know that you’re making the right choice.,"Dr. Travis Bradberry, ContributorTalentSmart, President and 'Emotional Intelligence 2.0,' Coauthor",2017-04-09
Uber Resumes Self-Driving Car Program In San Francisco After Crash,"Uber’s San Francisco program is currently in development mode. It has two cars registered with the California Department of Motor Vehicles, but is not transporting passengers.","Gina Cherelus, Reuters",2017-03-27
Uber Halts Self-Driving Car Fleet After Crash In Arizona,No one was injured when an SUV flipped on its side in Tempe.,Mary Papenfuss,2017-03-26
